table,theme,feature_type
airport,Transport,airport
bridge_line,Transport,bridge
building,Buildings,building
building_point,Buildings,building
coastline,Landcover,coastline
contour,Relief,contour
descriptive_text,Annonation,descriptive_text
fence_line,Structures,fence
ferry_crossing,Transport,ferry_crossing
geographic_name,Annonation,geographic_name
island,Landcover,island
landcover,Landcover,ice
landcover,Landcover,moraine
landcover,Landcover,moraine_wall
landcover,Landcover,mud
landcover,Landcover,sand
landcover,Landcover,scree
landcover,Landcover,shingle
landcover_line,Landuse,dredge_tailing
landcover_point,Landcover,fumarole
landcover_point,Landcover,rock_outcrop
landuse,Landuse,cemetery
landuse,Landuse,golf_course
landuse,Landuse,gravel_pit
landuse,Landuse,landfill
landuse,Landuse,mine
landuse,Landuse,pumice_pit
landuse,Landuse,quarry
landuse,Landuse,racetrack
landuse,Landuse,rifle_range
landuse,Landuse,showground
landuse,Landuse,sportsfield
landuse_line,Landuse,racetrack
marine,Landcover,mangrove
marine,Landcover,reef
marine,Landcover,rock
marine,Landcover,shoal
nztopo50_map_sheet,MapSheets,nztopo50_map_sheet
physical_infrastructure_line,Infrastructure,pipeline
physical_infrastructure_line,Infrastructure,powerline
physical_infrastructure_line,Infrastructure,telephone
physical_infrastructure_line,Infrastructure,walkwire
physical_infrastructure_line,Infrastructure,water_race
physical_infrastructure_point,Infrastructure,gas_valve
physical_infrastructure_point,Infrastructure,geo_bore
physical_infrastructure_point,Infrastructure,pylon
place_point,LandCover,cave
place_point,Landuse,cemetery
place_point,Landuse,grave
place_point,Landuse,historic_site
place_point,Landuse,mine
place_point,Landuse,monument
place_point,Landuse,pa
place_point,Landuse,radar_dome
place_point,LandCover,saddle
place_point,Landuse,satellite_station
railway_line,Transport,railway
railway_station,Transport,rail_station
relief_line,Relief,cliff_edge
relief_line,Relief,cutting_edge
relief_line,Relief,embankment
relief_line,Relief,slip_edge
relief_point,Relief,blowhole
relief_point,Relief,height
relief_point,Relief,sinkhole
residential_area,Landuse,residential_area
road_line,Transport,road
runway,Transport,runway
structure,Structures,dry_dock
structure,Structures,fish_farm
structure,Structures,marine_farm
structure,Landuse,reservoir
structure,Structures,siphon
structure,Structures,tank
structure_line,Structures,boatramp
structure_line,Structures,boom
structure_line,Structures,breakwater
structure_line,Structures,cableway_industrial
structure_line,Structures,cableway_people
structure_line,Structures,dam
structure_line,Landuse,flume
structure_line,Structures,fume
structure_line,Structures,ladder
structure_line,Structures,marine_farm
structure_line,Structures,ski_lift
structure_line,Structures,ski_tow
structure_line,Structures,slipway
structure_line,Structures,spillway_edge
structure_line,Structures,weir
structure_line,Structures,wharf
structure_line,Structures,wharf_edge
structure_point,Structures,beacon
structure_point,Structures,bivouac
structure_point,Structures,buoy
structure_point,Structures,cattlestop
structure_point,Structures,chimney
structure_point,Structures,dredge
structure_point,Structures,flare
structure_point,Structures,floodgate
structure_point,Structures,flume
structure_point,Structures,gate
structure_point,Structures,kiln
structure_point,Structures,ladder
structure_point,Structures,mast
structure_point,Structures,redoubt
structure_point,Structures,shaft
structure_point,Structures,siphon
structure_point,Structures,stockyard
structure_point,Structures,tank
structure_point,Structures,tower
structure_point,Structures,well
structure_point,Structures,windmill
structure_point,Structures,wreck
track_line,Transport,track
transport_point,Transport,ford
transport_point,Transport,helipad
tree_point,Landcover,tree
trig_point,Relief,trig
tunnel_line,Transport,tunnel
vegetation,Landcover,exotic
vegetation,Landcover,native
vegetation,Landuse,orchard
vegetation,Landcover,plantation
vegetation,Landcover,scattered_scrub
vegetation,Landcover,scrub
vegetation,Landuse,vineyard
vegetation_line,Landcover,shelter_belt
water,Landuse,canal
water,Landcover,lagoon
water,Landcover,lake
water,Landcover,pond
water,Landcover,river
landcover,Landcover,swamp
water_line,Landuse,canal
water_line,Landuse,drain
water_line,Landcover,river
water_point,Landcover,rock
water_point,Landcover,soakhole
water_point,Landcover,spring
landcover_point,Landcover,swamp
water_point,Landcover,waterfall
landcover,Landcover,rapid
relief,Relief,waterfall
relief_line,Relief,rapid
relief_line,Relief,waterfall
relief_line,Relief,waterfall_edge
